Range,Round,Beat,Place,Ha.,Place Year
Himatnagar,Derol SF,Derol SF,Derol SF Beat,,
Himatnagar,Derol SF,Mehtapura SF,Mehtapura SF Beat,,
Himatnagar,Himmatnagar SF,Himmatnagar SF,Himmatnagar SF Beat,,
Himatnagar,Himmatnagar SF,Berna SF,Berna SF Beat,,
Himatnagar,Himmatnagar SF,Dhandha,Dhandha Beat,,
Himatnagar,Himmatpur SF,Chandrni SF,Chandrni SF Beat,,
Himatnagar,Himmatpur SF,Gambhoi SF,Gambhoi SF Beat,,
Himatnagar,Ilol SF,Ilol SF,Ilol SF Beat,,
Himatnagar,Ilol SF,Rajpur SF,Rajpur SF Beat,,
Himatnagar,Khed SF,Kaniyol SF,Kaniyol SF Beat,,
Himatnagar,Khed SF,Khed SF,Khed SF Beat,,
Himatnagar,Punasan SF,Fatepur SF,Fatepur SF Beat,,
Himatnagar,Punasan SF,Punasan SF,Punasan SF Beat,,
Himatnagar,Raygadh SF,Pedhmala SF,Pedhmala SF Beat,,
Himatnagar,Raygadh SF,Raygadh SF,Raygadh SF Beat,,
Idar,Idar SF,Badoli SF,Badoli SF Beat,,
Idar,Idar SF,Daramali SF,Daramali SF Beat,,
Idar,Idar SF,Idar SF,Idar SF Beat,,
Idar,Jashvantgadh SF,Davad SF,Davad SF Beat,,
Idar,Jashvantgadh SF,Jadar SF,Jadar SF Beat,,
Idar,Jashvantgadh SF,Jashvantgadh SF,Jashvantgadh SF Beat,,
Idar,Kadiyadara SF,Kadiyadara SF,Kadiyadara SF Beat,,
Idar,Revas SF,Mesan SF,Mesan SF Beat,,
Idar,Revas SF,Mudeti SF,Mudeti SF Beat,,
Idar,Revas SF,Vasai SF,Vasai SF Beat,,
Idar,Verabar SF,Verabar SF,Verabar SF Beat,,
Vadali,Bavsar SF,Bavsar SF,Bavsar SF Beat,,
Vadali,Bavsar SF,Veda SF,Veda SF Beat,,
Vadali,Bhavangadh SF,Bhavangadh SF,Bhavangadh SF Beat,,
Vadali,Bhavangadh SF,Hathoj SF,Hathoj SF Beat,,
Vadali,Vadali SF,Junachamu SF,Junachamu SF Beat,,
Vadali,Vadali SF,Vadali SF,Vadali SF Beat,,
Prantij,Ghadi SF,Ghadi SF,Ghadi SF Beat,,
Prantij,Prantij SF,Prantij SF,Prantij SF Beat,,
Prantij,Prantij SF,Tajpur Kui SF,Tajpur Kui SF Beat,,
Prantij,Salal SF,Salal SF,Salal SF Beat,,
Talod,Harsol SF,Harsol SF,Harsol SF Beat,,
Talod,Ranasan SF,Ranasan SF,Ranasan SF Beat,,
Talod,Talod SF,Talod SF,Talod SF Beat,,
Khedbrahma,Khedbrahma SF,Khedbrahma SF,Khedbrahma SF Beat,,
Khedbrahma,Kheroj SF,Dan Mahudi SF,Dan Mahudi SF Beat,,
Khedbrahma,Lambadiya SF,Lambadiya SF,Lambadiya SF Beat,,
Khedbrahma,Laxmipura SF,Galodiya SF,Galodiya SF Beat,,
Khedbrahma,Laxmipura SF,Jadi Simbal SF,Jadi Simbal SF Beat,,
Khedbrahma,Matoda SF,Radhivad,Radhivad Beat,,
Khedbrahma,Matoda SF,Matoda SF,Matoda SF Beat,,
Khedbrahma,Poshina SF,Poshina SF,Poshina SF Beat,,
Vijaynagar,Antarsuba SF,Navabhaga SF,Navabhaga SF Beat,,
Vijaynagar,Chithoda SF,Chithoda SF,Chithoda SF Beat,,
Vijaynagar,Chithoda SF,Pal SF,Pal SF Beat,,
Vijaynagar,Monghri SF,Abhapur SF,Abhapur SF Beat,,
Vijaynagar,Monghri SF,Monghri SF,Monghri SF Beat,,
Vijaynagar,Vijaynagar SF,Vandhol SF,Vandhol SF Beat,,
Vijaynagar,Vijaynagar SF,Vijaynagar SF,Vijaynagar SF Beat,,
